"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"QuestTrader_TOAST_LOST_DELIVERY_ITEM","You lost the delivery item!","You lost the delivery item!","Ztratil jsi predmet k doruceni!","Du hast den Liefergegenstand verloren!","Вы потеряли предмет доставки!","Zgubiles przedmiot dostawy!","Elvesztetted a szallitando targyat!","Hai perso l'oggetto da consegnare!","Perdiste el objeto de entrega!","Vous avez perdu l'objet a livrer !","你丢失了交付物品！","配達アイテムを失いました！","Você perdeu o item de entrega!","你丢失了交付物品！"
"QuestTrader_TOAST_FINISH_CURRENT_TRADER","Finish your current quest from this trader first!","Finish your current quest from this trader first!","Nejprve dokoncete aktualni ukol od tohoto obchodnika!","Schliesse zuerst deine aktuelle Quest dieses Haendlers ab!","Сначала завершите текущее задание этого торговца!","Najpierw ukoncz aktualny quest tego handlarza!","Elobb fejezd be ennek a kereskedonek az aktualis kuldeteset!","Completa prima la missione attuale di questo commerciante!","Primero completa tu mision actual de este comerciante!","Terminez d'abord votre quete actuelle de ce marchand !","先完成这个商人的当前任务！","まずこのトレーダーの現在のクエストを完了してください！","Conclua primeiro a quest atual deste NPC!","先完成这个商人的当前任务！"
"QuestTrader_TOAST_QUEST_NOT_AVAILABLE","Quest not available.","Quest not available.","Ukol neni dostupny.","Quest nicht verfuegbar.","Задание недоступно.","Quest niedostepny.","Kuldetes nem erheto el.","Missione non disponibile.","Mision no disponible.","Quete indisponible.","任務不可用。","クエストは利用できません。","Quest indisponível.","任务不可用。"
"QuestTrader_TOAST_COMPLETE_PREREQ","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Complete prerequisite first:","Conclua o requisito primeiro:","Complete prerequisite first:"
"QuestTrader_TOAST_NO_ACTIVE_CANCEL","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","No active quest to cancel.","Nenhuma quest ativa para cancelar.","No active quest to cancel."
"QuestTrader_TOAST_QUEST_CANCELLED","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelled.","Quest cancelada.","Quest cancelled."
"QuestTrader_TOAST_NOT_ACCEPTED","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","You have not accepted this quest.","Você não aceitou esta quest.","You have not accepted this quest."
"QuestTrader_TOAST_INTERACTION_REQUIRED","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","You still need to interact with the quest object.","Voce ainda precisa interagir com o objeto da quest.","You still need to interact with the quest object."
"QuestTrader_TOAST_WRONG_INTERACTION_OBJECT","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","That is not the quest object.","Esse nao e o objeto da quest.","That is not the quest object."
"QuestTrader_TOAST_ADMIN_WIPED_PLAYER","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Your QuestTrader data has been wiped by an admin.","Seus dados do QuestTrader foram limpos por um admin.","Your QuestTrader data has been wiped by an admin."
"QuestTrader_TOAST_ADMIN_COMPLETED_FOR_YOU","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","A quest has been completed for you by an admin.","Uma quest foi concluída para você por um admin.","A quest has been completed for you by an admin."
"QuestTrader_CHAT_PREFIX","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]","[Quest]"
"QuestTrader_CHAT_TRADER","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[Trader]","[NPC]","[Trader]"
"QuestTrader_CHAT_QUEST_ACCEPTED","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest accepted","Quest aceita","Quest accepted"
"QuestTrader_CHAT_DELIVER_TO","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Deliver to","Entregar para","Deliver to"
"QuestTrader_CHAT_TURN_IN_TO","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Turn in to","Entregar em","Turn in to"
"QuestTrader_CHAT_NO_ACTIVE","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","No active quests. Find a Quest Trader!","Nenhuma quest ativa. Encontre um NPC de quests!","No active quests. Find a Quest Trader!"
"QuestTrader_CHAT_COMPLETE_BEFORE_ACCEPT","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Complete this quest before accepting","Conclua esta quest antes de aceitar","Complete this quest before accepting"
"QuestTrader_CHAT_PROGRESS","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Quest progress","Progresso da quest","Quest progress"
"QuestTrader_CHAT_KILLS","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Abates","Kills"
"QuestTrader_CHAT_QUEST_COMPLETE","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest complete","Quest concluída","Quest complete"
"QuestTrader_CHAT_RETURN_REWARD","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Return to the Quest Trader to claim your reward!","Volte ao NPC de quests para receber sua recompensa!","Return to the Quest Trader to claim your reward!"
"QuestTrader_CHAT_REWARDS","Rewards","Rewards","Rewards","Rewards","Rewards","Rewards","Rewards","Rewards","Rewards","Rewards","Rewards","Rewards","Recompensas","Rewards"
"QuestTrader_HUD_TITLE","[ QUESTS ]","[ QUESTS ]","[ ÚKOLY ]","[ QUESTS ]","[ ЗАДАНИЯ ]","[ ZADANIA ]","[ KÜLDETÉSEK ]","[ MISSIONI ]","[ MISIONES ]","[ QUÊTES ]","[ 任務 ]","[ クエスト ]","[ QUESTS ]","[ 任务 ]"
"QuestTrader_HUD_TOGGLE","Toggle","Toggle","Přepnout","Umschalten","Переключить","Przełącz","Váltás","Attiva/Disattiva","Alternar","Basculer","切換","切替","Alternar","切换"
"QuestTrader_HUD_TOGGLE_ACTION","Toggle","Toggle","Přepnout","Umschalten","Переключить","Przełącz","Valtas","Attiva/Disattiva","Alternar","Basculer","切換","切替","Alternar","切换"
"QuestTrader_HUD_DONE","[READY!]","[READY!]","[PRIPRAVENO!]","[BEREIT!]","[ГОТОВО!]","[GOTOWE!]","[KESZ!]","[PRONTA!]","[¡LISTA!]","[PRETE !]","[可回報！]","[提出可能！]","[PRONTA!]","[可提交！]"
"QuestTrader_INPUT_OPEN_QUEST_MENU","QuestTrader: open quest board","QuestTrader: open quest board","QuestTrader: otevrit nastenku ukolu","QuestTrader: Questtafel oeffnen","QuestTrader: открыть доску заданий","QuestTrader: otworz tablice questow","QuestTrader: kuldetestabla megnyitasa","QuestTrader: apri bacheca missioni","QuestTrader: abrir tablero de misiones","QuestTrader : ouvrir le panneau de quetes","QuestTrader: 開啟任務板","QuestTrader: クエストボードを開く","QuestTrader: abrir painel de quests","QuestTrader: 打开任务板"
"QuestTrader_INPUT_TOGGLE_HUD","QuestTrader: toggle active quest summary","QuestTrader: toggle active quest summary","QuestTrader: prepnout souhrn aktivnich ukolu","QuestTrader: aktive Questuebersicht umschalten","QuestTrader: переключить сводку активных заданий","QuestTrader: przelacz podsumowanie aktywnych questow","QuestTrader: aktiv kuldetes osszegzes valtasa","QuestTrader: attiva riepilogo missioni attive","QuestTrader: alternar resumen de misiones activas","QuestTrader : basculer le resume des quetes actives","QuestTrader: 切換進行中任務摘要","QuestTrader: 進行中クエスト概要を切替","QuestTrader: alternar resumo de quests ativas","QuestTrader: 切换活动任务摘要"
"QuestTrader_INPUT_OPEN_ADMIN","QuestTrader: open admin panel","QuestTrader: open admin panel","QuestTrader: otevrit admin panel","QuestTrader: Admin-Panel oeffnen","QuestTrader: открыть панель администратора","QuestTrader: otworz panel admina","QuestTrader: admin panel megnyitasa","QuestTrader: apri pannello admin","QuestTrader: abrir panel admin","QuestTrader : ouvrir le panneau admin","QuestTrader: 開啟管理面板","QuestTrader: 管理パネルを開く","QuestTrader: abrir painel admin","QuestTrader: 打开管理面板"
"QuestTrader_INPUT_OPEN_QUEST_LOG","QuestTrader: open quest history","QuestTrader: open quest history","QuestTrader: otevrit historii ukolu","QuestTrader: Questverlauf oeffnen","QuestTrader: открыть историю заданий","QuestTrader: otworz historie questow","QuestTrader: kuldetesnaplo megnyitasa","QuestTrader: apri storico missioni","QuestTrader: abrir historial de misiones","QuestTrader : ouvrir l'historique des quetes","QuestTrader: 開啟任務歷史","QuestTrader: クエスト履歴を開く","QuestTrader: abrir histórico de quests","QuestTrader: 打开任务历史"
"QuestTrader_INPUT_OPEN_JOURNAL","QuestTrader: open field journal","QuestTrader: open field journal","QuestTrader: otevrit polni denik","QuestTrader: Feldtagebuch oeffnen","QuestTrader: открыть полевой журнал","QuestTrader: otworz dziennik terenowy","QuestTrader: terepnaplo megnyitasa","QuestTrader: apri diario da campo","QuestTrader: abrir diario de campo","QuestTrader : ouvrir le journal de terrain","QuestTrader: 開啟野外日誌","QuestTrader: フィールド日誌を開く","QuestTrader: abrir diário de campo","QuestTrader: 打开野外日志"
"QuestTrader_HINT_INTERACT","See quests","See quests","Zobrazit úkoly","Quests ansehen","Посмотреть задания","Zobacz questy","Küldetések megtekintése","Vedi missioni","Ver misiones","Voir les quêtes","查看任務","クエストを見る","Ver quests","查看任务"
"QuestTrader_HINT_INTERACT_ACTION","See quests","See quests","Zobrazit ukoly","Quests ansehen","Посмотреть задания","Zobacz questy","Kuldetesek megtekintese","Vedi missioni","Ver misiones","Voir les quetes","查看任務","クエストを見る","Ver quests","查看任务"
"QuestTrader_HINT_INTERACT_OBJECT","Interact","Interact","Interact","Interact","Interact","Interact","Interact","Interact","Interact","Interact","Interact","Interact","Interagir","Interact"
"QuestTrader_RECON_SCANNING","Scanning","Scanning","Skenování","Scanne","Сканирование","Skanowanie","Keresés","Scansione","Escaneando","Analyse","掃描中","スキャン中","Escaneando","扫描中"
"QuestTrader_RECON_REMAINING","s remaining","s remaining"," s zbývá"," s verbleibend"," с осталось"," s pozostało"," mp hátra"," s rimanenti"," s restantes"," s restantes"," 秒剩餘"," 秒残り","s restantes"," 秒剩余"
"QuestTrader_RECON_START","Look through Binoculars to begin recon.","Look through Binoculars to begin recon.","Podívej se dalekohledem pro zahájení průzkumu.","Schau durch das Fernglas, um die Aufklärung zu beginnen.","Посмотрите в бинокль, чтобы начать разведку.","Spójrz przez lornetkę, aby rozpocząć zwiad.","Nézz bele a távcsőbe a felderítés megkezdéséhez.","Guarda attraverso il binocolo per iniziare la ricognizione.","Mira a través de los binoculares para iniciar el reconocimiento.","Regardez avec les jumelles pour commencer la reconnaissance.","透過望遠鏡開始偵察。","双眼鏡を覗いて偵察を開始してください。","Olhe pelos Binóculos para iniciar o reconhecimento.","通过望远镜开始侦察。"
"QuestTrader_RECON_PAUSED","Paused","Paused","Pozastaveno","Pausiert","Пауза","Wstrzymano","Szüneteltetve","In pausa","Pausado","En pause","已暫停","一時停止","Pausado","已暂停"
"QuestTrader_RECON_CONTINUE","Look through Binoculars to continue.","Look through Binoculars to continue.","Podívej se dalekohledem pro pokračování.","Schau durch das Fernglas, um fortzufahren.","Посмотрите в бинокль, чтобы продолжить.","Spójrz przez lornetkę, aby kontynuować.","Nézz bele a távcsőbe a folytatáshoz.","Guarda attraverso il binocolo per continuare.","Mira a través de los binoculares para continuar.","Regardez avec les jumelles pour continuer.","透過望遠鏡繼續。","双眼鏡を覗いて続行してください。","Olhe pelos Binóculos para continuar.","通过望远镜继续。"
"QuestTrader_LOG_TITLE","Quest Log","Quest Log","Záznam úkolů","Questprotokoll","Журнал заданий","Dziennik zadań","Küldetésnapló","Registro missioni","Registro de misiones","Journal des quêtes","任務日誌","クエストログ","Registro de Quests","任务日志"
"QuestTrader_LOG_HISTORY","HISTORY","HISTORY","HISTORIE","VERLAUF","ИСТОРИЯ","HISTORIA","ELŐZMÉNYEK","STORICO","HISTORIAL","HISTORIQUE","歷史","履歴","HISTÓRICO","历史"
"QuestTrader_LOG_LEADERBOARD","LEADERBOARD","LEADERBOARD","ŽEBŘÍČEK","RANGLISTE","ТАБЛИЦА ЛИДЕРОВ","RANKING","RANGLISTA","CLASSIFICA","CLASIFICACIÓN","CLASSEMENT","排行榜","ランキング","RANKING","排行榜"
"QuestTrader_LOG_EMPTY","No quests completed yet.","No quests completed yet.","Zatím nebyly dokončeny žádné úkoly.","Noch keine Quests abgeschlossen.","Пока нет завершённых заданий.","Nie ukończono jeszcze żadnych zadań.","Még nincs befejezett küldetés.","Nessuna missione completata ancora.","Aún no se completó ninguna misión.","Aucune quête terminée pour le moment.","尚未完成任何任務。","完了したクエストはまだありません。","Nenhuma quest concluída ainda.","还没有完成任何任务。"
"QuestTrader_LOG_NO_LEADERBOARD","No leaderboard data yet.","No leaderboard data yet.","Zatím žádná data žebříčku.","Noch keine Ranglistendaten.","Пока нет данных таблицы лидеров.","Brak danych rankingu.","Még nincs ranglistaadat.","Nessun dato classifica ancora.","Aún no hay datos de clasificación.","Aucune donnée de classement pour le moment.","尚無排行榜資料。","ランキングデータはまだありません。","Ainda não há dados de ranking.","还没有排行榜数据。"
"QuestTrader_LOG_TOP","-- Top Survivors --","-- Top Survivors --","-- Nejlepší přeživší --","-- Top-Überlebende --","-- Лучшие выжившие --","-- Najlepsi ocalali --","-- Legjobb túlélők --","-- Migliori sopravvissuti --","-- Mejores supervivientes --","-- Meilleurs survivants --","-- 頂尖倖存者 --","-- トップ生存者 --","-- Sobreviventes no Topo --","-- 顶尖幸存者 --"
"QuestTrader_LOG_COMPLETED","Completed","Completed","Dokončeno","Abgeschlossen","Завершено","Ukończone","Befejezve","Completata","Completada","Terminée","已完成","完了済み","Concluída","已完成"
"QuestTrader_LOG_RUN","Run","Run","Běh","Durchlauf","Забег","Przebieg","Futam","Esecuzione","Ejecución","Exécution","執行","実行","Execução","执行"
"QuestTrader_LOG_REWARDS_RECEIVED","Rewards received","Rewards received","Obdržené odměny","Erhaltene Belohnungen","Полученные награды","Otrzymane nagrody","Megkapott jutalmak","Ricompense ricevute","Recompensas recibidas","Récompenses reçues","已收到獎勵","受け取った報酬","Recompensas recebidas","已收到奖励"
"QuestTrader_JOURNAL_TITLE","FIELD JOURNAL","FIELD JOURNAL","POLNÍ DENÍK","FELDTAGEBUCH","ПОЛЕВОЙ ЖУРНАЛ","DZIENNIK TERENOWY","TEREPNAPLÓ","DIARIO DA CAMPO","DIARIO DE CAMPO","JOURNAL DE TERRAIN","野外日誌","フィールド日誌","DIÁRIO DE CAMPO","野外日志"
"QuestTrader_JOURNAL_HINT","Press ~ to open the journal","Press ~ to open the journal","Posouvej pro čtení","Zum Lesen scrollen","Прокрутите для чтения","Przewiń, aby czytać","Görgess az olvasáshoz","Scorri per leggere","Desplázate para leer","Faites défiler pour lire","捲動閱讀","スクロールして読む","Aperte ~ para abrir o jornal","滚动阅读"
"QuestTrader_JOURNAL_HINT_SCROLL","Press","Press","Posouvej pro cteni - stiskni","Zum Lesen scrollen - druecke","Прокрутите для чтения - нажмите","Przewin, aby czytac - nacisnij","Gorgess az olvasashoz - nyomd meg","Scorri per leggere - premi","Desplazate para leer - pulsa","Faites defiler pour lire - appuyez sur","捲動閱讀 - 按","スクロールして読む - 押す","Aperte","滚动阅读 - 按"
"QuestTrader_JOURNAL_HINT_CLOSE","to open the journal","to open the journal","pro zavreni","zum Schliessen","чтобы закрыть","aby zamknac","a bezarashoz","per chiudere","para cerrar","pour fermer","關閉","閉じる","para abrir o jornal","关闭"
"QuestTrader_JOURNAL_LOADING","Loading journal entries...","Loading journal entries...","Načítání záznamů deníku...","Lade Tagebucheinträge...","Загрузка записей журнала...","Ładowanie wpisów dziennika...","Naplóbejegyzések betöltése...","Caricamento voci del diario...","Cargando entradas del diario...","Chargement des entrées du journal...","正在載入日誌條目...","日誌エントリを読み込み中...","Carregando entradas do diário...","正在加载日志条目..."
"QuestTrader_JOURNAL_EMPTY","No entries yet.","No entries yet.","Zatím žádné záznamy.","Noch keine Einträge.","Пока нет записей.","Brak wpisów.","Még nincs bejegyzés.","Nessuna voce ancora.","Aún no hay entradas.","Aucune entrée pour le moment.","尚無條目。","エントリはまだありません。","Ainda sem entradas.","还没有条目。"
"QuestTrader_JOURNAL_EMPTY_HINT","Complete quests to fill your journal.","Complete quests to fill your journal.","Dokončuj úkoly, aby se deník zaplnil.","Schließe Quests ab, um dein Tagebuch zu füllen.","Выполняйте задания, чтобы заполнить журнал.","Ukończ zadania, aby wypełnić dziennik.","Teljesíts küldetéseket a naplód kitöltéséhez.","Completa missioni per riempire il diario.","Completa misiones para llenar tu diario.","Terminez des quêtes pour remplir votre journal.","完成任務以填寫你的日誌。","クエストを完了して日誌を埋めましょう。","Conclua quests para preencher seu diário.","完成任务来填写你的日志。"
"QuestTrader_ADMIN_TITLE","QuestTrader Admin","QuestTrader Admin","Správa QuestTrader","QuestTrader-Admin","Админ QuestTrader","Administrator QuestTrader","QuestTrader admin","Admin QuestTrader","Admin QuestTrader","Admin QuestTrader","QuestTrader 管理","QuestTrader 管理","Admin QuestTrader","QuestTrader 管理"
"QuestTrader_ADMIN_PLAYERS","PLAYERS","PLAYERS","HRÁČI","SPIELER","ИГРОКИ","GRACZE","JÁTÉKOSOK","GIOCATORI","JUGADORES","JOUEURS","玩家","プレイヤー","JOGADORES","玩家"
"QuestTrader_ADMIN_LOGS","LOGS","LOGS","LOGY","PROTOKOLLE","ЛОГИ","LOGI","NAPLÓK","LOG","REGISTROS","JOURNAUX","記錄","ログ","LOGS","日志"
"QuestTrader_ADMIN_QUESTS","QUESTS","QUESTS","UKOLY","QUESTS","ЗАДАНИЯ","QUESTY","KULDETESEK","MISSIONI","MISIONES","QUETES","任務","クエスト","QUESTS","任务"
"QuestTrader_ADMIN_QUEST_ID","Quest ID","Quest ID","ID úkolu","Quest-ID","ID задания","ID zadania","Küldetés ID","ID missione","ID de misión","ID de quête","任務 ID","クエストID","ID da Quest","任务 ID"
